channel,lo,hi,n,confidence,accuracy
emitted,0.0,0.1,26,0.020384615384615386,0.46153846153846156
emitted,0.1,0.2,6,0.19999999999999998,0.16666666666666666
emitted,0.2,0.30000000000000004,2,0.3,0.5
emitted,0.30000000000000004,0.4,0,,
emitted,0.4,0.5,0,,
emitted,0.5,0.6000000000000001,10,0.5999999999999999,0.5
emitted,0.6000000000000001,0.7000000000000001,16,0.65,0.1875
emitted,0.7000000000000001,0.8,5,0.75,0.4
emitted,0.8,0.9,10,0.85,0.7
emitted,0.9,1.0,0,,
logit_ev,0.0,0.1,20,0.0023455056947134277,0.55
logit_ev,0.1,0.2,4,0.1587314441093744,0.0
logit_ev,0.2,0.30000000000000004,4,0.2572643939860057,0.25
logit_ev,0.30000000000000004,0.4,2,0.3501680210673397,0.0
logit_ev,0.4,0.5,3,0.44236593206687785,0.3333333333333333
logit_ev,0.5,0.6000000000000001,7,0.5706569830395367,0.2857142857142857
logit_ev,0.6000000000000001,0.7000000000000001,20,0.6343557959058777,0.45
logit_ev,0.7000000000000001,0.8,13,0.747416056497694,0.38461538461538464
logit_ev,0.8,0.9,2,0.8182096784532567,1.0
logit_ev,0.9,1.0,0,,
logit_logodds_50,0.0,0.1,26,0.006175956623581726,0.4230769230769231
logit_logodds_50,0.1,0.2,4,0.14441689784334683,0.25
logit_logodds_50,0.2,0.30000000000000004,2,0.26044414270707394,0.5
logit_logodds_50,0.30000000000000004,0.4,1,0.3982767667706071,0.0
logit_logodds_50,0.4,0.5,0,,
logit_logodds_50,0.5,0.6000000000000001,4,0.561514609520821,0.5
logit_logodds_50,0.6000000000000001,0.7000000000000001,3,0.6870178633866341,0.3333333333333333
logit_logodds_50,0.7000000000000001,0.8,11,0.7560329245331064,0.36363636363636365
logit_logodds_50,0.8,0.9,8,0.8413945193087966,0.625
logit_logodds_50,0.9,1.0,16,0.9661342514451905,0.375
logit_logodds_80,0.0,0.1,55,0.01679347748993246,0.4
logit_logodds_80,0.1,0.2,6,0.12239204509398731,0.16666666666666666
logit_logodds_80,0.2,0.30000000000000004,3,0.2756334798387761,0.3333333333333333
logit_logodds_80,0.30000000000000004,0.4,5,0.3407665146892284,0.4
logit_logodds_80,0.4,0.5,3,0.448658567733978,0.6666666666666666
logit_logodds_80,0.5,0.6000000000000001,1,0.5524552023610229,1.0
logit_logodds_80,0.6000000000000001,0.7000000000000001,1,0.6116433117717281,1.0
logit_logodds_80,0.7000000000000001,0.8,1,0.731870951297445,1.0
logit_logodds_80,0.8,0.9,0,,
logit_logodds_80,0.9,1.0,0,,
logit_logodds_90,0.0,0.1,75,0.005264684727139457,0.41333333333333333
logit_logodds_90,0.1,0.2,0,,
logit_logodds_90,0.2,0.30000000000000004,0,,
logit_logodds_90,0.30000000000000004,0.4,0,,
logit_logodds_90,0.4,0.5,0,,
logit_logodds_90,0.5,0.6000000000000001,0,,
logit_logodds_90,0.6000000000000001,0.7000000000000001,0,,
logit_logodds_90,0.7000000000000001,0.8,0,,
logit_logodds_90,0.8,0.9,0,,
logit_logodds_90,0.9,1.0,0,,
probe,0.0,0.1,7,0.05333333333333334,0.0
probe,0.1,0.2,7,0.14666666666666667,0.0
probe,0.2,0.30000000000000004,8,0.2466666666666667,0.0
probe,0.30000000000000004,0.4,7,0.3466666666666666,0.14285714285714285
probe,0.4,0.5,8,0.44666666666666666,0.0
probe,0.5,0.6000000000000001,8,0.5533333333333333,0.125
probe,0.6000000000000001,0.7000000000000001,7,0.6533333333333333,0.8571428571428571
probe,0.7000000000000001,0.8,7,0.7466666666666667,1.0
probe,0.8,0.9,8,0.8466666666666667,1.0
probe,0.9,1.0,8,0.9533333333333334,1.0
head,0.0,0.1,7,0.053968253968253964,0.0
head,0.1,0.2,7,0.14666666666666667,0.0
head,0.2,0.30000000000000004,8,0.25555555555555554,0.125
head,0.30000000000000004,0.4,8,0.34777777777777774,0.125
head,0.4,0.5,6,0.4525925925925926,0.0
head,0.5,0.6000000000000001,9,0.54320987654321,0.1111111111111111
head,0.6000000000000001,0.7000000000000001,7,0.6514285714285714,0.7142857142857143
head,0.7000000000000001,0.8,7,0.7434920634920635,1.0
head,0.8,0.9,8,0.8466666666666667,1.0
head,0.9,1.0,8,0.9533333333333334,1.0
length_baseline,0.0,0.1,0,,
length_baseline,0.1,0.2,0,,
length_baseline,0.2,0.30000000000000004,0,,
length_baseline,0.30000000000000004,0.4,0,,
length_baseline,0.4,0.5,0,,
length_baseline,0.5,0.6000000000000001,0,,
length_baseline,0.6000000000000001,0.7000000000000001,0,,
length_baseline,0.7000000000000001,0.8,0,,
length_baseline,0.8,0.9,0,,
length_baseline,0.9,1.0,75,1.0,0.41333333333333333
