channel,auroc,auroc_lo,auroc_hi,n_missing,tpr@0.01,tpr@0.01_lo,tpr@0.01_hi,tpr@0.01_reachable,tpr@0.003,tpr@0.003_lo,tpr@0.003_hi,tpr@0.003_reachable,tpr@0.0003,tpr@0.0003_lo,tpr@0.0003_hi,tpr@0.0003_reachable,seed,probe_layer,probe_representation
emitted,0.500733137829912,0.3621700879765396,0.6389387829912022,0,0.0,0.0,0.22580645161290322,False,0.0,0.0,0.22580645161290322,False,0.0,0.0,0.22580645161290322,False,0,8,mean_pool
logit_ev,0.5344574780058651,0.39222873900293254,0.6715542521994134,0,0.0967741935483871,0.0,0.2903225806451613,False,0.0967741935483871,0.0,0.2903225806451613,False,0.0967741935483871,0.0,0.2903225806451613,False,0,8,mean_pool
logit_logodds_50,0.49266862170087977,0.3548387096774194,0.6297653958944281,0,0.03225806451612903,0.0,0.1935483870967742,False,0.03225806451612903,0.0,0.1935483870967742,False,0.03225806451612903,0.0,0.1935483870967742,False,0,8,mean_pool
logit_logodds_80,0.5784457478005866,0.4391312316715544,0.7096957478005863,0,0.12903225806451613,0.03225806451612903,0.3225806451612903,False,0.12903225806451613,0.03225806451612903,0.3225806451612903,False,0.12903225806451613,0.03225806451612903,0.3225806451612903,False,0,8,mean_pool
logit_logodds_90,0.6400293255131966,0.5109970674486803,0.7639296187683284,0,0.16129032258064516,0.06451612903225806,0.3225806451612903,False,0.16129032258064516,0.06451612903225806,0.3225806451612903,False,0.16129032258064516,0.06451612903225806,0.3225806451612903,False,0,8,mean_pool
probe,0.9802052785923754,0.9420821114369502,1.0,0,0.8709677419354839,0.7733870967742007,1.0,False,0.8709677419354839,0.7733870967742007,1.0,False,0.8709677419354839,0.7733870967742007,1.0,False,0,8,mean_pool
head,0.9684750733137829,0.9222873900293255,0.9999999999999999,0,0.8709677419354839,0.7419354838709677,1.0,False,0.8709677419354839,0.7419354838709677,1.0,False,0.8709677419354839,0.7419354838709677,1.0,False,0,8,mean_pool
length_baseline,0.6766862170087976,0.5483870967741935,0.7961876832844575,0,0.12903225806451613,0.03225806451612903,0.2903225806451613,False,0.12903225806451613,0.03225806451612903,0.2903225806451613,False,0.12903225806451613,0.03225806451612903,0.2903225806451613,False,0,8,mean_pool
ensemble,0.717375366568915,0.5916330645161292,0.8302877565982404,0,0.25806451612903225,0.12903225806451613,0.4838709677419355,False,0.25806451612903225,0.12903225806451613,0.4838709677419355,False,0.25806451612903225,0.12903225806451613,0.4838709677419355,False,0,8,mean_pool
emitted,0.500733137829912,0.36363636363636365,0.6378390762463342,0,0.0,0.0,0.22580645161290322,False,0.0,0.0,0.22580645161290322,False,0.0,0.0,0.22580645161290322,False,1,8,mean_pool
logit_ev,0.5344574780058651,0.3951612903225806,0.6715542521994136,0,0.0967741935483871,0.0,0.2903225806451613,False,0.0967741935483871,0.0,0.2903225806451613,False,0.0967741935483871,0.0,0.2903225806451613,False,1,8,mean_pool
logit_logodds_50,0.49266862170087977,0.3555718475073314,0.6312316715542522,0,0.03225806451612903,0.0,0.16209677419353666,False,0.03225806451612903,0.0,0.16209677419353666,False,0.03225806451612903,0.0,0.16209677419353666,False,1,8,mean_pool
logit_logodds_80,0.5784457478005866,0.4406158357771261,0.7126282991202344,0,0.12903225806451613,0.03225806451612903,0.3225806451612903,False,0.12903225806451613,0.03225806451612903,0.3225806451612903,False,0.12903225806451613,0.03225806451612903,0.3225806451612903,False,1,8,mean_pool
logit_logodds_90,0.6400293255131966,0.5036656891495601,0.7675953079178885,0,0.16129032258064516,0.06451612903225806,0.3225806451612903,False,0.16129032258064516,0.06451612903225806,0.3225806451612903,False,0.16129032258064516,0.06451612903225806,0.3225806451612903,False,1,8,mean_pool
probe,0.9802052785923754,0.9406158357771262,1.0,0,0.8709677419354839,0.7741935483870968,1.0,False,0.8709677419354839,0.7741935483870968,1.0,False,0.8709677419354839,0.7741935483870968,1.0,False,1,8,mean_pool
head,0.9560117302052785,0.9002932551319647,0.9970674486803519,0,0.8387096774193549,0.7096774193548387,0.967741935483871,False,0.8387096774193549,0.7096774193548387,0.967741935483871,False,0.8387096774193549,0.7096774193548387,0.967741935483871,False,1,8,mean_pool
length_baseline,0.6766862170087976,0.5505681818181819,0.7954545454545454,0,0.12903225806451613,0.03225806451612903,0.2903225806451613,False,0.12903225806451613,0.03225806451612903,0.2903225806451613,False,0.12903225806451613,0.03225806451612903,0.2903225806451613,False,1,8,mean_pool
ensemble,0.717375366568915,0.594208211143695,0.8310208944281524,0,0.25806451612903225,0.12903225806451613,0.4838709677419355,False,0.25806451612903225,0.12903225806451613,0.4838709677419355,False,0.25806451612903225,0.12903225806451613,0.4838709677419355,False,1,8,mean_pool
emitted,0.500733137829912,0.3621700879765396,0.6414956011730205,0,0.0,0.0,0.1935483870967742,False,0.0,0.0,0.1935483870967742,False,0.0,0.0,0.1935483870967742,False,2,8,mean_pool
