kind,representation,layer,layer_pos,C,seed,val_auroc,train_auroc,layer_tuned,C_tuned
linear,score_pos,0,0,0.01,0,0.8704453441295547,0.9985842985842986,False,True
linear,score_pos,2,1,0.1,0,0.888663967611336,1.0,False,True
linear,score_pos,4,2,1.0,0,0.902834008097166,1.0,False,True
linear,score_pos,6,3,10.0,0,0.8947368421052632,1.0,False,True
linear,score_pos,8,4,10.0,0,0.9068825910931174,1.0,False,True
linear,score_pos,10,5,1.0,0,0.8724696356275303,1.0,False,True
linear,score_pos,12,6,1.0,0,0.9251012145748988,1.0,False,True
linear,score_pos,14,7,1.0,0,0.8906882591093117,1.0,False,True
linear,score_pos,16,8,1.0,0,0.8906882591093118,1.0,False,True
linear,score_pos,18,9,1.0,0,0.9331983805668016,1.0,True,True
linear,score_pos,20,10,1.0,0,0.9190283400809717,1.0,False,True
linear,score_pos,22,11,10.0,0,0.9190283400809717,1.0,False,True
linear,score_pos,24,12,0.1,0,0.9089068825910931,1.0,False,True
linear,score_pos,26,13,10.0,0,0.9048582995951417,1.0,False,True
linear,score_pos,27,14,1.0,0,0.9251012145748988,1.0,False,True
linear,mean_pool,0,0,1.0,0,0.9757085020242914,1.0,False,True
linear,mean_pool,2,1,1.0,0,0.9817813765182186,1.0,False,True
linear,mean_pool,4,2,1.0,0,0.9635627530364372,1.0,False,True
linear,mean_pool,6,3,0.1,0,0.9878542510121457,1.0,False,True
linear,mean_pool,8,4,1.0,0,0.9959514170040487,1.0,True,True
linear,mean_pool,10,5,10.0,0,0.9939271255060729,1.0,False,True
linear,mean_pool,12,6,1.0,0,0.9939271255060729,1.0,False,True
linear,mean_pool,14,7,1.0,0,0.9939271255060729,1.0,False,True
linear,mean_pool,16,8,1.0,0,0.9959514170040487,1.0,False,True
linear,mean_pool,18,9,10.0,0,0.9939271255060729,1.0,False,True
linear,mean_pool,20,10,0.1,0,0.9939271255060729,1.0,False,True
linear,mean_pool,22,11,10.0,0,0.9878542510121457,1.0,False,True
linear,mean_pool,24,12,10.0,0,0.9797570850202428,1.0,False,True
linear,mean_pool,26,13,10.0,0,0.9615384615384615,1.0,False,True
linear,mean_pool,27,14,0.01,0,0.9676113360323886,1.0,False,True
head,mean_pool,8,4,,0,0.9898785425101215,1.0,True,True
linear,score_pos,0,0,0.01,1,0.8704453441295547,0.9985842985842986,False,True
linear,score_pos,2,1,0.1,1,0.888663967611336,1.0,False,True
linear,score_pos,4,2,1.0,1,0.902834008097166,1.0,False,True
linear,score_pos,6,3,10.0,1,0.8947368421052632,1.0,False,True
linear,score_pos,8,4,10.0,1,0.9068825910931174,1.0,False,True
linear,score_pos,10,5,1.0,1,0.8724696356275303,1.0,False,True
linear,score_pos,12,6,1.0,1,0.9251012145748988,1.0,False,True
