channel,auroc,auroc_lo,auroc_hi,n_missing,tpr@0.01,tpr@0.01_lo,tpr@0.01_hi,tpr@0.01_reachable,tpr@0.003,tpr@0.003_lo,tpr@0.003_hi,tpr@0.003_reachable,tpr@0.0003,tpr@0.0003_lo,tpr@0.0003_hi,tpr@0.0003_reachable,seed,probe_layer,probe_representation
emitted,0.6412301587301588,0.5657509920634921,0.713017857142857,0,0.01,0.0,0.03,True,0.01,0.0,0.03,False,0.01,0.0,0.03,False,0,20,mean_pool
logit_ev,0.6476984126984127,0.5710297619047618,0.7200813492063491,0,0.12,0.05,0.19,True,0.09,0.04,0.17,False,0.09,0.04,0.17,False,0,20,mean_pool
logit_logodds_50,0.6424603174603174,0.5656349206349207,0.7155595238095238,0,0.12,0.03,0.23,True,0.06,0.02,0.19,False,0.06,0.02,0.19,False,0,20,mean_pool
logit_logodds_80,0.6534920634920633,0.579204365079365,0.7252420634920634,0,0.12,0.05,0.19,True,0.09,0.04,0.17024999999999638,False,0.09,0.04,0.17024999999999638,False,0,20,mean_pool
logit_logodds_90,0.6305555555555556,0.5545238095238095,0.7037301587301588,0,0.11,0.04,0.21,True,0.08,0.03,0.18,False,0.08,0.03,0.18,False,0,20,mean_pool
probe,0.9891269841269841,0.9735714285714285,0.999047619047619,0,0.89,0.57,0.99,True,0.63,0.54,0.97,False,0.63,0.54,0.97,False,0,20,mean_pool
head,0.9935714285714285,0.9850793650793651,0.998968253968254,0,0.91,0.83,0.98,True,0.87,0.81,0.97,False,0.87,0.81,0.97,False,0,20,mean_pool
length_baseline,0.5046031746031746,0.4303928571428572,0.5796845238095237,0,0.02,0.0,0.06,True,0.0,0.0,0.05,False,0.0,0.0,0.05,False,0,20,mean_pool
ensemble,0.8156746031746032,0.7568650793650794,0.8671041666666667,0,0.34,0.25,0.46,True,0.33,0.24,0.44,False,0.33,0.24,0.44,False,0,20,mean_pool
emitted,0.6412301587301588,0.5681736111111111,0.7129771825396826,0,0.01,0.0,0.03,True,0.01,0.0,0.03,False,0.01,0.0,0.03,False,1,20,mean_pool
logit_ev,0.6476984126984127,0.5740416666666667,0.7197638888888888,0,0.12,0.05,0.19,True,0.09,0.04,0.17,False,0.09,0.04,0.17,False,1,20,mean_pool
logit_logodds_50,0.6424603174603174,0.5685694444444443,0.7161904761904762,0,0.12,0.03,0.23,True,0.06,0.02,0.19,False,0.06,0.02,0.19,False,1,20,mean_pool
logit_logodds_80,0.6534920634920633,0.5806309523809524,0.7258730158730158,0,0.12,0.05,0.19,True,0.09,0.04,0.18,False,0.09,0.04,0.18,False,1,20,mean_pool
logit_logodds_90,0.6305555555555556,0.5549186507936508,0.7021428571428571,0,0.11,0.04,0.21,True,0.08,0.04,0.19,False,0.08,0.04,0.19,False,1,20,mean_pool
probe,0.9891269841269841,0.9736507936507937,0.9991269841269841,0,0.89,0.57,0.99,True,0.63,0.54,0.98,False,0.63,0.54,0.98,False,1,20,mean_pool
head,0.9946825396825396,0.9874603174603175,0.9994444444444444,0,0.94,0.85,0.99,True,0.89,0.83,0.99,False,0.89,0.83,0.99,False,1,20,mean_pool
length_baseline,0.5046031746031746,0.4282519841269841,0.5798432539682539,0,0.02,0.0,0.06,True,0.0,0.0,0.05,False,0.0,0.0,0.05,False,1,20,mean_pool
ensemble,0.8156746031746032,0.7598799603174603,0.867500992063492,0,0.34,0.25,0.46,True,0.33,0.24,0.44,False,0.33,0.24,0.44,False,1,20,mean_pool
emitted,0.6412301587301588,0.5673402777777778,0.7135724206349207,0,0.01,0.0,0.03,True,0.01,0.0,0.03,False,0.01,0.0,0.03,False,2,20,mean_pool
logit_ev,0.6476984126984127,0.5733333333333334,0.7208730158730159,0,0.12,0.05,0.19,True,0.09,0.04,0.17,False,0.09,0.04,0.17,False,2,20,mean_pool
logit_logodds_50,0.6424603174603174,0.5662678571428571,0.7163531746031747,0,0.12,0.03,0.23,True,0.06,0.02,0.19,False,0.06,0.02,0.19,False,2,20,mean_pool
logit_logodds_80,0.6534920634920633,0.578968253968254,0.7250813492063491,0,0.12,0.05,0.19,True,0.09,0.04,0.18,False,0.09,0.04,0.18,False,2,20,mean_pool
logit_logodds_90,0.6305555555555556,0.5574583333333333,0.7023035714285714,0,0.11,0.04,0.21,True,0.08,0.04,0.19,False,0.08,0.04,0.19,False,2,20,mean_pool
probe,0.9891269841269841,0.9738095238095238,0.9991269841269841,0,0.89,0.57,0.99,True,0.63,0.54,0.97,False,0.63,0.54,0.97,False,2,20,mean_pool
head,0.9928571428571429,0.9838095238095238,0.9988888888888888,0,0.94,0.78,0.99,True,0.83,0.76,0.98,False,0.83,0.76,0.98,False,2,20,mean_pool
length_baseline,0.5046031746031746,0.42912698412698413,0.5792896825396825,0,0.02,0.0,0.06,True,0.0,0.0,0.05,False,0.0,0.0,0.05,False,2,20,mean_pool
ensemble,0.8156746031746032,0.7589275793650794,0.8681369047619046,0,0.34,0.25,0.46,True,0.33,0.24,0.44,False,0.33,0.24,0.44,False,2,20,mean_pool
